VolcNameID,Volcano,latitude,longitude
52,Adagdak,51.9905,-176.5852
60,Akutan,54.13308,-165.98555
128,Alagogshak,58.1573,-155.4
33,Amak,55.41728,-163.14687
296,Amchixtam Chaxsxii,51.8475,179.82972
20,Amukta,52.49419,-171.25476
95,Andrew Bay volcano,51.9689,-176.632
45,Aniakchak,56.88149,-158.15456
54,Atka,52.38167,-174.16527
1,Augustine,59.3626,-153.435
303,Basalt of Gertrude Creek,58.04,-156.14
8,Behm Canal-Rudyerd Bay,55.3196,-131.051
38,Black Peak,56.5512,-158.787
351,Blue Mtn,57.7051,-156.8467
50,Bobrof,51.9072,-177.4409
27,Bogoslof,53.9272,-168.0344
9,Bona-Churchill,61.4187,-141.7152
48,Buldir,52.3488,175.909
90,Buzzard Creek,64.0695,-148.422
102,Capital,62.4238,-144.1127
22,Carlisle,52.8906,-170.0576
21,Chagulak,52.5714,-171.1395
39,Chiginagak,57.13348,-156.99147
57,Cleveland,52.8222,-169.945
298,Cone 3110,58.58,-154.54
297,Cone 3601,58.55,-154.51
65,Dana,55.64205,-161.21551
12,Davidof,51.9542,178.326
77,Denison,58.4173,-154.451
79,Devils Desk,58.4753,-154.3001
129,Double Glacier,60.7194,-152.672
81,Douglas,58.8596,-153.5351
103,Drum,62.1159,-144.6399
93,Duncan Canal,56.4996,-133.102
62,Dutton,55.1867,-162.2744
105,East Cape volcano,52.3573,175.9475
7,Edgecumbe,57.0509,-135.7611
63,Emmons Lake Volcanic Center,55.3409,-162.0726
4,Espenberg,66.3493,-164.333
29,Fisher,54.6692,-164.3524
302,Folsoms Bluff,58.41,-155.21
44,Fourpeaked,58.7703,-153.6738
35,Frosty,55.0673,-162.8354
15,Gareloi,51.7892,-178.796
34,Gilbert,54.2522,-165.6605
92,Gordon,62.1312,-143.0883
16,Great Sitkin,52.0765,-176.1109
41,Griggs,58.3572,-155.1037
83,Hayes,61.5985,-152.42
56,Herbert,52.741,-170.113
2,Iliamna,60.0319,-153.0918
84,Imuruk Lake,65.6,-163.92
87,Ingakslugwat Hills,61.43,-164.47
104,Ingrisarak Mtn,61.525,-165.227
300,Iron Trig Cone,58.64,-154.47
31,Isanotski,54.76799,-163.72904
290,Iskut-Unuk River Cones,56.5196,-130.331
116,Jarvis,62.0233,-143.6201
312,Jumbo Dome,63.9665,-148.685
24,Kagamil,52.9726,-169.719
80,Kaguyak,58.6113,-154.0245
47,Kanaga,51.9242,-177.1623
53,Kasatochi,52.1693,-175.5113
75,Katmai,58.279,-154.9533
114,Kejulik,58.053,-155.671
127,Khvostof,51.9793,178.2756
69,Kialagvik,57.2019,-156.7467
10,Kiska,52.1031,177.6035
350,Klawasi Group,62.0962,-145.0853
299,Knob 1000,58.59,-154.56
107,Kochilagok Hill,61.638,-164.414
17,Koniuji,52.2189,-175.1323
85,Kookooligit Mountains,63.5991,-170.433
135,Korovin,52.38167,-174.16527
99,Koyuk-Buckland volcanics,65.65,-160.5
43,Kukak,58.4528,-154.3573
67,Kupreanof,56.0126,-159.7912
13,Little Sitkin,51.9531,178.5356
73,Mageik,58.1946,-155.2544
28,Makushin,53.8899,-166.925
72,Martin,58.1692,-155.3566
51,Moffett,51.937,-176.741
98,Nelson Island,60.45,-164.66
76,Novarupta,58.2654,-155.1591
88,Nunivak Island,60.099,-166.496
108,Nushkolik Mountain volcanic field,61.57,-164.91
26,Okmok,53.397,-168.166
36,Pavlof,55.4173,-161.8937
64,Pavlof Sister,55.4569,-161.8544
210,Porcupine,67.3,-142.7
122,Prindle Volcano,63.7196,-141.6223
301,Rainbow River Cone,58.5,-154.68
25,Recheshnoi,53.1536,-168.5382
3,Redoubt,60.4852,-152.7438
32,Roundtop,54.7992,-163.5914
91,Sanford,62.2133,-144.1295
19,Seguam,52.316,-172.51
11,Segula,52.0138,178.134
14,Semisopochnoi,51.9288,179.5977
18,Sergief,52.0533,-174.9521
30,Shishaldin,54.7554,-163.9711
117,Skookum Creek,62.3996,-143.132
42,Snowy,58.3336,-154.6859
82,Spurr,61.2989,-152.2539
121,St. George volcanic field,56.58,-169.63
86,St. Michael,63.4493,-162.123
89,St. Paul Island,57.18,-170.3
78,Steller,58.4301,-154.3903
334,Submarine 001,53.1465,-169.3793
339,Submarine 002,53.2978,-169.7604
352,Submarine 003,53.1198,-170.2279
353,Submarine 004,52.9405,-171.4116
354,Submarine 005,52.8012,-171.9246
355,Submarine 006,52.7649,-171.8752
49,Takawangha,51.867,-178.027
325,Tana,52.839,-169.758
115,Tanada Peak,62.302,-143.506
46,Tanaga,51.884,-178.143
94,Tlevak Strait-Suemez Island,55.2496,-133.302
101,Togiak volcanics,59.27,-160.05
348,Trader Mtn,55.56377,-161.94523
74,Trident,58.2343,-155.1026
40,Ugashik-Peulik,57.7503,-156.37
70,Ukinrek Maars,57.831,-156.512
23,Uliaga,53.065,-169.767
106,Ungulungwak Hill-Ingrichuak Hill,61.17,-164.25
71,Unnamed (near Ukinrek Maars),57.8338,-155.5139
37,Veniaminof,56.1979,-159.3931
124,Volcano 1 near Kupreanof,55.8681,-160.0956
125,Volcano 2 near Kupreanof,55.9125,-160.041
66,Volcano 3 near Kupreanof,55.9292,-160.002
126,Volcano 4 near Kupreanof,55.952,-159.958
58,Vsevidof,53.1256,-168.6937
61,Westdahl,54.5171,-164.6476
5,Wrangell,62.00572,-144.01935
68,Yantarni,57.0179,-157.1864
55,Yunaska,52.649,-170.659
